event_type,event_time,estimate,standard_error,conf_low,conf_high,observations,cities,estimand
GO bond issuance,-5,0.0838150289017341,0.0312130487104221,0.0226374534293068,0.144992604374161,346,101,Raw monthly coverage probability
GO bond issuance,-4,0.101156069364162,0.0268624969996352,0.0485055752448769,0.153806563483447,346,101,Raw monthly coverage probability
GO bond issuance,-3,0.0751445086705202,0.0275797420877161,0.0210882141785967,0.129200803162444,346,101,Raw monthly coverage probability
GO bond issuance,-2,0.069364161849711,0.0315263792953405,0.00757245843084366,0.131155865268578,346,101,Raw monthly coverage probability
GO bond issuance,-1,0.0982658959537572,0.0283732888307702,0.0426542498454477,0.153877542062067,346,101,Raw monthly coverage probability
GO bond issuance,0,0.135838150289017,0.033086803224851,0.0709880159683094,0.200688284609725,346,101,Raw monthly coverage probability
GO bond issuance,1,0.0838150289017341,0.0277026167658231,0.0295179000407207,0.138112157762747,346,101,Raw monthly coverage probability
GO bond issuance,2,0.0838150289017341,0.0345443812696724,0.0161080416131761,0.151522016190292,346,101,Raw monthly coverage probability
GO bond issuance,3,0.0780346820809249,0.0342694767816654,0.0108665075888607,0.145202856572989,346,101,Raw monthly coverage probability
GO bond issuance,4,0.106936416184971,0.031589448813863,0.0450210965097996,0.168851735860143,346,101,Raw monthly coverage probability
GO bond issuance,5,0.0838150289017341,0.029428577540404,0.0261350169225424,0.141495040880926,346,101,Raw monthly coverage probability
GO bond issuance,6,0.0809248554913295,0.0288271256212299,0.0244236892737189,0.13742602170894,346,101,Raw monthly coverage probability
GO bond issuance,7,0.0751445086705202,0.0285561885966618,0.019174379021063,0.131114638319977,346,101,Raw monthly coverage probability
GO bond issuance,8,0.0751445086705202,0.0292913031574946,0.0177335544818308,0.13255546285921,346,101,Raw monthly coverage probability
GO bond issuance,9,0.104046242774566,0.0329029772168462,0.039556407429548,0.168536078119585,346,101,Raw monthly coverage probability
GO bond issuance,10,0.0751445086705202,0.0341580294393537,0.00819477096938701,0.142094246371653,346,101,Raw monthly coverage probability
GO bond issuance,11,0.092485549132948,0.0289657167053143,0.0357127443905319,0.149258353875364,346,101,Raw monthly coverage probability
GO bond issuance,12,0.109826589595376,0.0344296197243703,0.0423445349356099,0.177308644255142,346,101,Raw monthly coverage probability
GO bond issuance,13,0.0895953757225434,0.0271954983141327,0.0362921990268432,0.142898552418244,346,101,Raw monthly coverage probability
GO bond issuance,14,0.121387283236994,0.037464604196609,0.0479566590116407,0.194817907462348,346,101,Raw monthly coverage probability
