event_type,event_time,estimate,standard_error,conf_low,conf_high,observations,cities
Bond election,10,0.530791788856305,0.302645159270821,-0.0623927233145047,1.12397630102711,682,119
Bond election,11,0.587976539589439,0.302017352272606,-0.0039774708648691,1.17993055004375,682,119
Bond election,12,0.639296187683289,0.298861332497363,0.0535279759884577,1.22506439937812,682,119
Bond election,13,0.478005865102638,0.245637897546934,-0.00344441408935214,0.959456144294628,682,119
Bond election,14,0.586510263929615,0.30088456802019,-0.00322348938995809,1.17624401724919,682,119
Bond election,15,0.702346041055726,0.293323374983971,0.127432226087144,1.27725985602431,682,119
Bond election,16,0.565982404692085,0.247922752245488,0.0800538102909288,1.05191099909324,682,119
Bond election,17,0.52932551319648,0.281065827998717,-0.0215635096810053,1.08021453607396,682,119
Bond election,18,0.624633431085044,0.278100127423796,0.0795571813344032,1.16970968083568,682,119
GO bond issuance,-18,0.257225433526013,0.156654577099505,-0.0498175375890164,0.564268404641042,346,101
GO bond issuance,-17,0.42485549132948,0.184610872967589,0.0630181803130046,0.786692802345954,346,101
GO bond issuance,-16,0.280346820809248,0.168158962782927,-0.049244746245289,0.609938387863785,346,101
GO bond issuance,-15,0.323699421965319,0.17829567058526,-0.0257600923817901,0.673158936312428,346,101
GO bond issuance,-14,0.390173410404625,0.21025353162884,-0.0219235115879003,0.802270332397151,346,101
GO bond issuance,-13,0.364161849710983,0.183669502429221,0.00416962494971107,0.724154074472256,346,101
GO bond issuance,-12,0.427745664739883,0.240263308022038,-0.0431704189833115,0.898661748463077,346,101
GO bond issuance,-11,0.291907514450866,0.169724307577413,-0.0407521284008638,0.624567157302596,346,101
GO bond issuance,-10,0.395953757225433,0.213056328536304,-0.0216366467057228,0.813544161156588,346,101
GO bond issuance,-9,0.355491329479769,0.19427353740864,-0.0252848038411651,0.736267462800703,346,101
GO bond issuance,-8,0.317919075144508,0.16682151316573,-0.00905109066032295,0.64488924094934,346,101
GO bond issuance,-7,0.335260115606937,0.1834270685929,-0.0242569388351464,0.69477717004902,346,101
GO bond issuance,-6,0.303468208092486,0.206308021035498,-0.100895513137089,0.707831929322062,346,101
GO bond issuance,-5,0.306358381502891,0.181891692205883,-0.0501493352206406,0.662866098226422,346,101
GO bond issuance,-4,0.361271676300579,0.190966164124141,-0.0130220053827365,0.735565357983894,346,101
GO bond issuance,-3,0.367052023121387,0.197967827284949,-0.0209649183571141,0.755068964599887,346,101
GO bond issuance,-2,0.297687861271677,0.220385999491308,-0.134268697731286,0.72964442027464,346,101
GO bond issuance,-1,0.381502890173411,0.200487174438143,-0.0114519717253497,0.774457752072172,346,101
GO bond issuance,0,0.580924855491328,0.246630017944425,0.0975300203202548,1.0643196906624,346,101
GO bond issuance,1,0.329479768786127,0.193157244228483,-0.0491084299017001,0.708067967473954,346,101
GO bond issuance,2,0.323699421965319,0.23427723912323,-0.135483966716212,0.782882810646849,346,101
GO bond issuance,3,0.306358381502891,0.205147627156589,-0.0957309677240243,0.708447730729806,346,101
GO bond issuance,4,0.358381502890173,0.188077363373823,-0.0102501293225206,0.727013135102866,346,101
GO bond issuance,5,0.361271676300579,0.219266638330447,-0.0684909348270961,0.791034287428255,346,101
GO bond issuance,6,0.349710982658959,0.204575906759344,-0.0512577945893549,0.750679759907273,346,101
GO bond issuance,7,0.341040462427745,0.208958684562887,-0.0685185593155135,0.750599484171003,346,101
GO bond issuance,8,0.323699421965319,0.212981248004149,-0.0937438241228141,0.741142668053452,346,101
GO bond issuance,9,0.462427745664739,0.228288126700002,0.0149830173327352,0.909872473996744,346,101
GO bond issuance,10,0.346820809248555,0.252242131562711,-0.147573768614359,0.841215387111468,346,101
GO bond issuance,11,0.439306358381504,0.223758153703734,0.000740377122185276,0.877872339640822,346,101
GO bond issuance,12,0.471098265895953,0.261121965233518,-0.0407007859617433,0.982897317753648,346,101
GO bond issuance,13,0.427745664739883,0.201109698876508,0.0335706549419271,0.821920674537839,346,101
GO bond issuance,14,0.49421965317919,0.260314154020508,-0.0159960887010062,1.00443539505939,346,101
GO bond issuance,15,0.329479768786127,0.222216237579867,-0.106064056870412,0.765023594442665,346,101
GO bond issuance,16,0.46820809248555,0.230337652533406,0.0167462935200742,0.919669891451026,346,101
GO bond issuance,17,0.343930635838151,0.213408888119957,-0.0743507848769643,0.762212056553267,346,101
GO bond issuance,18,0.450867052023122,0.225157990915451,0.00955738982883853,0.892176714217406,346,101
